id,x,y
E06000001,-1.2591,54.6694
E06000002,-1.2224,54.5419
E06000003,-1.0206,54.5516
E06000004,-1.3380,54.5774
E06000005,-1.5527,54.5487
E06000006,-2.6800,53.3317
E06000007,-2.5628,53.3991
E06000008,-2.4675,53.6926
E06000009,-3.0293,53.8179
E06000010,-0.3025,53.7722
E06000011,-0.4672,53.8865
E06000012,-0.1384,53.5425
E06000013,-0.5092,53.6019
E06000014,-1.0614,53.9588
E06000015,-1.4684,52.9125
E06000016,-1.1285,52.6379
E06000017,-0.6547,52.6607
E06000018,-1.1765,52.9606
E06000019,-2.7451,52.1037
E06000020,-2.4888,52.7302
E06000021,-2.1645,53.0181
E06000022,-2.4752,51.3559
E06000023,-2.6004,51.4668
E06000024,-2.7939,51.3899
E06000025,-2.4575,51.5419
E06000026,-4.1182,50.3921
E06000027,-3.5542,50.4418
E06000028,-1.8596,50.7422
E06000029,-1.9627,50.7451
E06000030,-1.7438,51.5716
E06000031,-0.2530,52.6085
E06000032,-0.4256,51.8942
E06000033,0.7107,51.5479
E06000034,0.3673,51.5091
E06000035,0.5532,51.4377
E06000036,-0.7396,51.4081
E06000037,-1.3044,51.4496
E06000038,-0.9839,51.4530
E06000039,-0.5861,51.5083
E06000040,-0.6996,51.4857
E06000041,-0.8838,51.4295
E06000042,-0.7335,52.0838
E06000043,-0.1341,50.8447
E06000044,-1.0710,50.8053
E06000045,-1.3990,50.9199
E06000046,-1.2980,50.6747
E06000047,-1.8397,54.6954
E06000049,-2.3494,53.1804
E06000050,-2.7315,53.1975
E06000051,-2.7341,52.6354
E06000052,-4.8249,50.4067
E06000053,-6.2984,49.9210
E06000054,-1.9447,51.2976
E06000055,-0.4771,52.1892
E06000056,-0.4360,52.0067
E06000057,-2.0689,55.2363
E07000004,-0.8855,51.8923
E07000005,-0.6278,51.6805
E07000006,-0.5901,51.5564
E07000007,-0.8153,51.6493
E07000008,0.1329,52.1994
E07000009,0.3043,52.3389
E07000010,0.0574,52.5335
E07000011,-0.2207,52.3737
E07000012,0.0812,52.1728
E07000026,-3.2420,54.7037
E07000027,-3.1958,54.1479
E07000028,-2.8041,54.9713
E07000029,-3.3731,54.4204
E07000030,-2.6221,54.6129
E07000031,-2.8310,54.3128
E07000032,-1.4666,53.0292
E07000033,-1.2772,53.2157
E07000034,-1.4012,53.2562
E07000035,-1.6936,53.1285
E07000036,-1.3467,52.9355
E07000037,-1.8739,53.3731
E07000038,-1.4483,53.2259
E07000039,-1.5595,52.8310
E07000040,-3.2226,50.7655
E07000041,-3.5109,50.7223
E07000042,-3.5561,50.8762
E07000043,-3.9109,51.0691
E07000044,-3.8233,50.3751
E07000045,-3.6581,50.6066
E07000046,-4.2482,50.8848
E07000047,-4.0456,50.6569
E07000048,-1.7892,50.7625
E07000049,-1.9615,50.8637
E07000050,-2.2464,50.9126
E07000051,-2.1391,50.6811
E07000052,-2.5784,50.7853
E07000053,-2.4599,50.6352
E07000061,0.2660,50.7768
E07000062,0.5705,50.8699
E07000063,0.0046,50.8828
E07000064,0.5373,50.9522
E07000065,0.1984,50.9678
E07000066,0.4661,51.5903
E07000067,0.5899,51.9419
E07000068,0.3107,51.6387
E07000069,0.5859,51.5597
E07000070,0.4805,51.7257
E07000071,0.8519,51.8807
E07000072,0.1487,51.7089
E07000073,0.1085,51.7683
E07000074,0.7691,51.7104
E07000075,0.7107,51.5966
E07000076,1.1087,51.8703
E07000077,0.2797,51.9347
E07000078,-2.0740,51.8970
E07000079,-1.8924,51.8167
E07000080,-2.4875,51.8368
E07000081,-2.2400,51.8494
E07000082,-2.2952,51.7285
E07000083,-2.0870,51.9458
E07000084,-1.2009,51.2735
E07000085,-0.9551,51.0746
E07000086,-1.3265,50.9377
E07000087,-1.2223,50.8531
E07000088,-1.1610,50.8051
E07000089,-0.8974,51.2848
E07000090,-0.9965,50.8675
E07000091,-1.6310,50.8599
E07000092,-0.7675,51.2735
E07000093,-1.5106,51.1287
E07000094,-1.2212,51.0283
E07000095,-0.0475,51.7250
E07000096,-0.5409,51.7782
E07000098,-0.2811,51.6772
E07000099,-0.1926,51.9590
E07000102,-0.4606,51.6610
E07000103,-0.4033,51.6681
E07000105,0.8114,51.1253
E07000106,1.1048,51.2809
E07000107,0.2523,51.4298
E07000108,1.2873,51.2107
E07000109,0.3951,51.4023
E07000110,0.5806,51.2350
E07000111,0.1721,51.2755
E07000112,0.9943,51.0558
E07000113,0.8118,51.3150
E07000114,1.3377,51.3544
E07000115,0.3428,51.2667
E07000116,0.4306,51.1144
E07000117,-2.2220,53.7790
E07000118,-2.6468,53.6615
E07000119,-2.9137,53.7879
E07000120,-2.3898,53.7587
E07000121,-2.6918,54.0710
E07000122,-2.1848,53.8655
E07000123,-2.6975,53.8121
E07000124,-2.4447,53.9073
E07000125,-2.2673,53.6938
E07000126,-2.7087,53.7280
E07000127,-2.8701,53.5993
E07000128,-2.8073,53.8998
E07000129,-1.2220,52.5715
E07000130,-1.1462,52.7370
E07000131,-1.0079,52.5393
E07000132,-1.3911,52.6165
E07000133,-0.8562,52.7965
E07000134,-1.4050,52.7532
E07000135,-1.0934,52.5872
E07000136,-0.0377,52.9735
E07000137,0.0225,53.2513
E07000138,-0.5550,53.2247
E07000139,-0.4461,53.0812
E07000140,-0.0595,52.7888
E07000141,-0.5183,52.8544
E07000142,-0.4765,53.3929
E07000143,0.8373,52.5881
E07000144,1.3098,52.7013
E07000145,1.6495,52.6725
E07000146,0.5351,52.7310
E07000147,1.1758,52.8469
E07000148,1.2769,52.6331
E07000149,1.2723,52.5141
E07000150,-0.6959,52.4991
E07000151,-1.0480,52.3161
E07000152,-0.5234,52.4577
E07000153,-0.7654,52.4262
E07000154,-0.8869,52.2412
E07000155,-1.0427,52.1226
E07000156,-0.7124,52.2878
E07000163,-2.1746,54.0799
E07000164,-1.3193,54.2871
E07000165,-1.5958,54.0672
E07000166,-1.9341,54.3615
E07000167,-0.8523,54.2106
E07000168,-0.6373,54.3665
E07000169,-1.1692,53.7761
E07000170,-1.2591,53.0922
E07000171,-0.9593,53.3328
E07000172,-1.2621,52.9765
E07000173,-1.1193,53.0284
E07000174,-1.1728,53.1707
E07000175,-0.9198,53.1240
E07000176,-1.0375,52.9008
E07000177,-1.2759,51.9589
E07000178,-1.2410,51.7546
E07000179,-1.0715,51.6339
E07000180,-1.4416,51.6342
E07000181,-1.5069,51.8377
E07000187,-2.5447,51.2029
E07000188,-2.8908,51.2085
E07000189,-2.7096,50.9881
E07000190,-3.1608,51.0096
E07000191,-3.4968,51.1318
E07000192,-1.9803,52.7124
E07000193,-1.8122,52.8633
